id,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,city,country,Rating_Scale,Scale_Price
292757,1515549,Sarah,2011-12-18,within a few hours,1.0,0.91,t,Castleknock,1,1,t,t,53.36949,-6.34889,Entire home,Entire home/apt,9,2.5 baths,4.0,5.0,121.0,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,25,362,30,0,2012-09-02,2022-08-06,4.92,4.91,4.78,4.95,4.95,4.94,4.84,f,1,1,0,0,2.97,Dublin,Ireland,Satisfied,Between 100 to 499
302554,1557844,Liam And Fiona,2012-01-02,within an hour,1.0,0.99,f,Stoneybatter/Arbour Hill,8,8,t,t,53.35681,-6.29094,Entire rental unit,Entire home/apt,5,1 bath,1.0,3.0,200.0,2,365,2,5,365,365,3.0,365.0,t,4,8,15,227,59,4,0,2012-03-05,2022-06-01,4.67,4.72,4.83,4.93,4.9,4.44,4.65,t,8,8,0,0,0.46,Kildare,Ireland,Satisfied,Between 100 to 499
302634,1557844,Liam And Fiona,2012-01-02,within an hour,1.0,0.99,f,Stoneybatter/Arbour Hill,8,8,t,t,53.35681,-6.29094,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,101.0,2,365,2,5,365,365,3.0,365.0,t,0,0,0,0,105,21,4,2012-02-28,2022-09-11,4.61,4.69,4.75,4.83,4.91,4.47,4.48,t,8,8,0,0,0.82,Kildare,Ireland,Satisfied,Between 100 to 499
374792,790601,Grainne,2011-07-07,within an hour,1.0,0.91,f,Kilmainham,5,5,t,t,53.33744,-6.32363,Entire rental unit,Entire home/apt,4,1 bath,1.0,3.0,212.0,3,365,3,3,365,365,3.0,365.0,t,0,7,21,90,35,7,1,2012-07-02,2022-08-15,4.48,4.5,4.59,4.85,4.79,4.41,4.5,t,5,5,0,0,0.28,Not Specified,Ireland,Satisfied,Between 100 to 499
386860,1935798,Sinead,2012-03-16,Not Specified,0.0,0.0,f,The Liberties,2,2,t,t,53.3379,-6.27517,Entire home,Entire home/apt,4,1 bath,2.0,2.0,164.0,1,30,1,2,30,30,1.6,30.0,t,0,0,0,0,92,0,0,2012-08-13,2019-12-13,4.67,4.77,4.52,4.91,4.83,4.77,4.56,f,2,2,0,0,0.75,Dublin,Ireland,Satisfied,Between 100 to 499
393631,1968168,Mick & Dee,2012-03-19,Not Specified,0.0,0.0,f,North Strand,1,3,t,t,53.35764,-6.24171,Entire home,Entire home/apt,6,2 baths,3.0,3.0,180.0,3,1125,3,3,1125,1125,3.0,1125.0,t,0,0,0,0,72,0,0,2012-08-07,2017-03-19,4.87,4.88,4.86,4.93,4.91,4.24,4.65,f,1,1,0,0,0.59,Dublin,Ireland,Satisfied,Between 100 to 499
419987,1557844,Liam And Fiona,2012-01-02,within an hour,1.0,0.99,f,Stoneybatter/Arbour Hill,8,8,t,t,53.35682,-6.29132,Entire rental unit,Entire home/apt,6,1 bath,1.0,3.0,240.0,2,365,2,5,365,365,3.0,365.0,t,9,19,33,255,145,41,1,2012-10-24,2022-08-20,4.8,4.8,4.85,4.92,4.94,4.5,4.61,t,8,8,0,0,1.2,Kildare,Ireland,Satisfied,Between 100 to 499
424596,2110301,Karin,2012-04-10,within a few hours,0.96,0.95,t,Mountjoy,4,5,t,t,53.355545,-6.258094,Entire loft,Entire home/apt,3,1 bath,1.0,1.0,155.0,2,1124,1,2,1124,1124,2.0,1124.0,t,4,9,33,114,519,72,4,2012-06-17,2022-08-28,4.84,4.92,4.91,4.89,4.88,4.62,4.75,f,4,4,0,0,4.16,Dublin,Ireland,Satisfied,Between 100 to 499
426326,766611,Margaret,2011-07-01,within an hour,1.0,0.95,f,Beaumont,3,4,t,t,53.39027,-6.23547,Private room in home,Private room,3,2 shared baths,1.0,2.0,60.0,3,21,1,3,21,21,3.0,21.0,t,6,16,25,28,254,15,5,2012-06-24,2022-09-11,4.61,4.78,4.49,4.83,4.84,4.56,4.61,f,3,0,3,0,2.04,Dublin,Ireland,Satisfied,Less than 100
427077,2110301,Karin,2012-04-10,within a few hours,0.96,0.95,t,Mountjoy,4,5,t,t,53.35572,-6.25803,Entire loft,Entire home/apt,3,1 bath,1.0,2.0,154.0,2,1124,1,2,1124,1124,2.0,1124.0,t,1,9,26,111,498,57,4,2012-05-01,2022-08-23,4.84,4.88,4.91,4.86,4.85,4.6,4.69,f,4,4,0,0,3.95,Dublin,Ireland,Satisfied,Between 100 to 499
427495,766611,Margaret,2011-07-01,within an hour,1.0,0.95,f,Beaumont,3,4,t,t,53.39027,-6.23547,Private room in home,Private room,2,2 shared baths,3.0,1.0,60.0,3,21,1,3,21,21,3.0,21.0,t,3,11,27,299,176,13,8,2012-09-01,2022-09-10,4.59,4.72,4.51,4.85,4.89,4.52,4.63,f,3,0,3,0,1.44,Dublin,Ireland,Satisfied,Less than 100
449556,2232368,Matt,2012-04-26,within a few hours,1.0,0.72,f,Not Specified,1,4,t,t,53.42654,-6.22952,Private room in bungalow,Private room,4,1 private bath,1.0,3.0,155.0,1,1125,1,1,1125,1125,1.0,1125.0,t,11,21,47,317,271,51,6,2013-07-31,2022-08-28,4.19,4.63,4.45,4.67,4.54,4.67,4.21,f,1,0,1,0,2.44, Dublin,Ireland,Satisfied,Between 100 to 499
454183,408378,Eddie,2011-02-24,within an hour,1.0,0.88,t,Cabra,4,4,t,f,53.35334,-6.29797,Entire loft,Entire home/apt,3,1 bath,1.0,2.0,132.0,3,1125,2,3,1125,1125,3.0,1125.0,t,1,1,1,1,93,20,3,2017-06-21,2022-09-10,4.67,4.74,4.59,4.96,4.97,4.76,4.55,f,3,2,1,0,1.46,Dublin,Ireland,Satisfied,Between 100 to 499
468082,2115318,Siobhan,2012-04-11,within an hour,1.0,1.0,t,Not Specified,2,3,t,t,53.35328,-6.45154,Private room in home,Private room,5,2 baths,2.0,3.0,70.0,1,21,1,1,1125,1125,1.0,1125.0,t,4,20,49,279,296,82,10,2012-09-03,2022-09-10,4.7,4.81,4.7,4.84,4.9,4.75,4.69,t,2,0,2,0,2.42,Lucan,Ireland,Satisfied,Less than 100
497136,608225,Norah,2011-05-20,within an hour,1.0,0.67,f,Sandymount,2,6,t,t,53.33596,-6.22059,Private room in home,Private room,2,2 shared baths,1.0,1.0,139.0,1,7,1,1,7,7,1.0,7.0,t,2,2,2,2,113,0,0,2012-09-04,2019-07-26,4.62,4.74,4.44,4.8,4.78,4.55,4.5,f,2,0,2,0,0.93,Dublin,Ireland,Satisfied,Between 100 to 499
522667,2110301,Karin,2012-04-10,within a few hours,0.96,0.95,t,Mountjoy,4,5,t,t,53.355545,-6.258094,Entire loft,Entire home/apt,3,1 bath,1.0,1.0,153.0,2,1124,1,2,1124,1124,2.0,1124.0,t,4,14,36,123,430,53,4,2012-06-25,2022-08-24,4.81,4.91,4.96,4.9,4.89,4.65,4.69,f,4,4,0,0,3.46,Dublin,Ireland,Satisfied,Between 100 to 499
526767,2340296,Dardo,2012-05-10,within an hour,1.0,1.0,t,North City Central/O'Connell Street,3,4,t,t,53.34752,-6.26393,Entire loft,Entire home/apt,3,1 bath,1.0,2.0,194.0,1,60,1,4,3,1125,2.9,1079.5,t,1,6,12,197,568,51,3,2012-09-04,2022-09-04,4.9,4.94,4.92,4.96,4.98,4.93,4.77,f,1,1,0,0,4.65,Dublin,Ireland,Satisfied,Between 100 to 499
575339,1689834,Moris,2012-02-02,Not Specified,0.0,0.0,f,Not Specified,1,1,t,t,53.34391,-6.23845,Private room in rental unit,Private room,2,1 bath,1.0,2.0,50.0,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,0,0,0,2024-01-12,2024-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,1,0,1,0,0.0,Istanbul,Turkey,Very Dissatisfied,Less than 100
587218,2895736,James And Tom,2012-07-10,within a few hours,1.0,0.86,t,Cabra,2,2,t,t,53.36405,-6.27351,Private room in home,Private room,2,1.5 baths,1.0,1.0,80.0,2,7,2,2,7,7,2.0,7.0,t,0,0,0,117,220,28,5,2012-09-17,2022-09-08,4.98,4.97,4.96,4.99,4.99,4.76,4.94,f,1,0,1,0,1.81,Dublin,Ireland,Satisfied,Less than 100
592840,2115318,Siobhan,2012-04-11,within an hour,1.0,1.0,t,Not Specified,2,3,t,t,53.35153,-6.45154,Private room in home,Private room,1,1.5 baths,1.0,1.0,55.0,1,5,1,1,5,5,1.0,5.0,t,4,20,49,279,42,17,1,2012-09-03,2022-08-25,4.9,4.98,4.95,4.93,4.95,4.9,4.8,f,2,0,2,0,0.34,Lucan,Ireland,Satisfied,Less than 100
610233,687547,Kate,2011-06-10,Not Specified,0.0,0.0,f,Not Specified,1,2,t,t,53.34616,-6.27228,Entire home,Entire home/apt,4,2.5 baths,2.0,2.0,150.0,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,61,0,0,2012-08-22,2019-03-23,4.82,4.89,4.66,4.89,4.89,4.97,4.7,f,1,1,0,0,0.5,Not Specified,Ireland,Satisfied,Between 100 to 499
637185,3177950,Justin,2012-08-06,Not Specified,0.0,0.0,f,Smithfield,1,1,t,t,53.34675,-6.27552,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,119.0,7,60,7,7,60,60,7.0,60.0,t,0,0,0,0,158,0,0,2012-10-22,2018-10-13,4.5,4.6,4.43,4.63,4.55,4.72,4.55,f,1,1,0,0,1.31,Not Specified,Singapore,Satisfied,Between 100 to 499
641880,3207141,Hazel,2012-08-09,Not Specified,0.0,0.0,f,Old City,2,2,t,t,53.34427,-6.28322,Private room in rental unit,Private room,2,1 bath,1.0,1.0,85.0,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,46,0,0,2014-08-01,2016-09-19,4.53,4.78,4.31,4.87,4.87,4.53,4.56,f,2,1,1,0,0.47,Dublin,Ireland,Satisfied,Less than 100
654589,3244025,Garrett,2012-08-13,within an hour,1.0,0.97,t,Temple Bar,2,3,t,t,53.34493,-6.26688,Entire condo,Entire home/apt,4,1 bath,2.0,3.0,356.0,3,150,1,3,150,150,2.0,150.0,t,6,12,27,251,538,50,3,2012-09-04,2022-08-30,4.78,4.81,4.84,4.9,4.94,4.94,4.63,f,2,2,0,0,4.41,Dublin,Ireland,Satisfied,Between 100 to 499
690119,3525420,Sarah,2012-09-10,within an hour,1.0,0.81,f,Dundrum,1,4,t,t,53.29448,-6.24686,Entire cottage,Entire home/apt,4,2 baths,2.0,2.0,341.0,5,180,5,5,1125,1125,5.0,1125.0,t,2,2,2,250,216,5,2,2013-06-17,2022-08-29,4.9,4.93,4.85,4.95,4.97,4.72,4.78,t,1,1,0,0,1.92,Dublin,Ireland,Satisfied,Between 100 to 499
726011,3755932,Valerie,2012-10-04,within an hour,1.0,0.97,t,Not Specified,1,1,t,t,53.58179,-6.12118,Entire rental unit,Entire home/apt,3,1.5 baths,1.0,3.0,113.0,3,1125,3,3,1125,1125,3.0,1125.0,t,7,21,45,175,164,20,0,2013-09-18,2022-08-02,4.9,4.89,4.9,4.95,4.98,4.96,4.77,f,1,1,0,0,1.5,Dublin,Ireland,Satisfied,Between 100 to 499
726075,3756388,Mary,2012-10-04,within a day,1.0,0.63,t,Drumcondra,9,12,t,t,53.36973,-6.25788,Entire townhouse,Entire home/apt,5,3.5 baths,3.0,5.0,125.0,7,180,7,7,180,180,7.0,180.0,t,0,0,0,0,3,0,0,2015-08-30,2017-09-02,4.33,4.33,4.0,5.0,5.0,5.0,4.33,f,1,1,0,0,0.04,Trim,Ireland,Satisfied,Between 100 to 499
736751,3683952,Roy,2012-09-26,within a few hours,0.6,0.41,f,Drumcondra,1,6,t,t,53.3701,-6.25308,Private room in guesthouse,Private room,2,1.5 baths,1.0,1.0,80.0,14,30,14,14,30,30,14.0,30.0,t,0,12,42,289,74,3,0,2012-10-25,2022-06-18,4.52,4.62,4.36,4.81,4.75,4.65,4.6,f,1,0,1,0,0.61,Dublin,Ireland,Satisfied,Less than 100
736827,3846772,Sag,2012-10-12,within an hour,1.0,0.98,f,Docklands,16,43,t,t,53.34845,-6.24015,Entire rental unit,Entire home/apt,4,1.5 baths,2.0,1.0,116.0,28,365,28,28,365,365,28.0,365.0,t,0,0,0,0,7,0,0,2014-03-30,2015-08-05,4.67,4.5,4.83,4.5,5.0,4.67,4.33,t,11,11,0,0,0.07,Dublin,Ireland,Satisfied,Between 100 to 499
742656,3888023,Daragh,2012-10-16,within a few hours,0.94,0.86,f,Grafton Street/St. Stephens Green,2,2,t,t,53.33387,-6.26429,Private room in rental unit,Private room,2,Shared half-bath,1.0,1.0,65.0,2,1001,2,2,1001,1001,2.0,1001.0,t,2,10,26,96,368,40,4,2014-02-09,2022-08-24,4.58,4.68,4.43,4.85,4.9,4.77,4.55,f,2,0,2,0,3.52,Dublin,Ireland,Satisfied,Less than 100
743771,3897306,Bernie,2012-10-17,Not Specified,0.0,0.25,f,Drumcondra,2,2,t,f,53.36698,-6.26888,Private room in bed and breakfast,Private room,1,1 private bath,1.0,1.0,75.0,2,1125,2,2,2,1125,2.0,1114.8,t,0,0,0,0,0,0,0,2024-01-12,2024-01-12,2.375,2.125,2.5,2.5,2.5,2.5,2.125,f,2,0,2,0,0.025,Glasnevin,Ireland,Dissatisfied,Less than 100
743772,3897306,Bernie,2012-10-17,Not Specified,0.0,0.25,f,Drumcondra,2,2,t,f,53.36721,-6.26704,Private room in bed and breakfast,Private room,2,1 private bath,1.0,1.0,140.0,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,5,1,0,2014-03-24,2022-06-05,4.75,4.25,5.0,5.0,5.0,5.0,4.25,f,2,0,2,0,0.05,Glasnevin,Ireland,Satisfied,Between 100 to 499
747284,1626936,James P  ( J.P),2012-01-19,Not Specified,0.0,1.0,f,Dundrum,1,1,t,t,53.29505,-6.23371,Entire condo,Entire home/apt,4,1.5 baths,2.0,1.0,229.0,15,90,15,15,90,90,15.0,90.0,t,9,39,69,249,38,9,1,2013-03-18,2022-08-29,4.97,4.95,4.97,4.97,5.0,4.87,4.79,f,1,1,0,0,0.33,Dublin,Ireland,Satisfied,Between 100 to 499
871174,4592908,Louise,2013-01-05,within an hour,1.0,0.84,t,Not Specified,2,6,t,t,53.3678,-6.20609,Private room in home,Private room,3,1 shared bath,1.0,2.0,42.0,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,8,97,244,23,1,2013-03-09,2022-08-20,4.45,4.68,4.17,4.73,4.74,4.62,4.48,f,2,0,2,0,2.11,Dublin,Ireland,Satisfied,Less than 100
872539,4603565,Aida,2013-01-06,within an hour,1.0,0.86,t,North Strand,1,3,t,t,53.35789,-6.23813,Entire cottage,Entire home/apt,4,1 bath,2.0,2.0,280.0,3,10,3,3,10,10,3.0,10.0,t,0,9,39,277,120,21,3,2013-03-11,2022-09-11,4.79,4.85,4.92,4.93,4.87,4.51,4.66,f,1,1,0,0,1.04,Dublin,Ireland,Satisfied,Between 100 to 499
922425,1607393,Daragh,2012-01-14,within an hour,1.0,1.0,f,The Liberties,2,3,t,t,53.34202,-6.27351,Entire townhouse,Entire home/apt,4,1 bath,2.0,2.0,204.0,7,14,7,7,14,14,7.0,14.0,t,0,0,0,68,131,5,0,2013-04-10,2022-07-09,4.78,4.87,4.57,4.86,4.92,4.86,4.72,f,1,1,0,0,1.14,Dublin,Ireland,Satisfied,Between 100 to 499
928970,5001093,Trish,2013-02-07,Not Specified,0.0,0.0,f,Docklands,2,2,t,t,53.34096,-6.23917,Boat,Entire home/apt,4,1 bath,1.0,3.0,165.0,2,28,2,3,28,28,2.5,28.0,t,0,0,0,0,37,0,0,2013-08-18,2020-03-09,4.81,4.94,4.66,4.92,4.94,4.97,4.61,f,2,2,0,0,0.34,Dublin,Ireland,Satisfied,Between 100 to 499
929816,4985632,Ashton,2013-02-06,within a few hours,1.0,1.0,f,Docklands,2,2,t,t,53.34434,-6.23888,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,79.0,2,16,2,2,16,16,2.0,16.0,t,0,0,0,0,161,0,0,2013-03-16,2020-02-17,4.96,4.96,4.99,4.99,4.98,4.81,4.87,f,2,1,1,0,1.39,Dublin,Ireland,Satisfied,Less than 100
939866,4985632,Ashton,2013-02-06,within a few hours,1.0,1.0,f,Docklands,2,2,t,t,53.34408,-6.23923,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,334.0,2,14,2,2,4,14,2.0,14.0,t,4,4,4,4,156,0,0,2013-03-11,2020-09-18,4.93,4.93,4.95,4.92,4.94,4.85,4.77,f,2,1,1,0,1.35,Dublin,Ireland,Satisfied,Between 100 to 499
946923,3846772,Sag,2012-10-12,within an hour,1.0,0.98,f,Docklands,16,43,t,t,53.34383,-6.23912,Entire serviced apartment,Entire home/apt,2,1 bath,1.0,1.0,60.0,5,1125,5,5,1125,1125,5.0,1125.0,t,0,0,0,0,11,4,0,2015-05-31,2022-05-21,4.55,4.82,4.82,4.82,4.82,5.0,4.73,t,11,11,0,0,0.12,Dublin,Ireland,Satisfied,Less than 100
990212,5437323,Aoife,2013-03-12,within a few hours,1.0,0.83,f,Not Specified,1,1,t,t,53.33771,-6.31474,Entire home,Entire home/apt,6,1.5 baths,4.0,5.0,205.0,7,28,7,7,28,28,7.0,28.0,t,0,0,0,0,38,5,1,2015-07-14,2022-08-28,4.79,4.95,4.79,4.92,4.92,4.58,4.84,f,1,1,0,0,0.44,Dublin,Ireland,Satisfied,Between 100 to 499
990300,5438017,Melanie,2013-03-12,Not Specified,0.0,0.0,f,Dartry,1,1,t,t,53.3133,-6.25374,Private room in townhouse,Private room,3,1 private bath,2.0,2.0,65.0,1,4,1,1,4,4,1.0,4.0,t,0,0,0,0,204,0,0,2013-03-19,2018-02-25,4.9,4.94,4.95,4.96,4.96,4.92,4.84,f,1,0,1,0,1.77,Dublin,Ireland,Satisfied,Less than 100
998407,1245198,Amanda,2011-10-04,within an hour,1.0,0.92,f,Not Specified,3,5,t,t,53.39622,-6.1756,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,53.0,1,3,1,1,3,3,1.0,3.0,t,2,14,28,70,254,49,2,2014-11-11,2022-08-28,4.31,4.6,4.45,4.84,4.78,4.27,4.4,f,3,3,0,0,2.66,Dublin,Ireland,Satisfied,Less than 100
999963,5497230,Sarah And Johnny,2013-03-17,within an hour,1.0,0.63,t,Cabra,2,3,t,t,53.36193,-6.27423,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,200.0,7,365,7,7,365,365,7.0,365.0,t,0,0,0,0,10,0,0,2014-08-16,2017-08-16,4.9,4.9,4.7,5.0,5.0,4.7,4.9,f,1,1,0,0,0.1,Dublin,Ireland,Satisfied,Between 100 to 499
1073487,5905039,Jane,2013-04-13,within an hour,1.0,0.84,f,Dundrum,1,1,t,t,53.30443,-6.24083,Private room in home,Private room,1,1 shared bath,1.0,1.0,85.0,3,20,3,3,20,20,3.0,20.0,t,21,51,81,345,72,19,4,2013-05-23,2022-09-03,4.9,4.94,4.85,4.97,4.92,4.86,4.84,f,1,0,1,0,0.64,Dublin,Ireland,Satisfied,Less than 100
1076634,823405,Declan,2011-07-15,within a day,0.5,0.0,f,Kimmage,1,1,t,t,53.31546,-6.3119,Private room in townhouse,Private room,2,1.5 shared baths,1.0,1.0,75.0,5,22,5,5,22,22,5.0,22.0,t,0,10,40,315,50,0,0,2013-08-15,2019-05-11,4.64,4.69,4.58,4.77,4.88,4.49,4.61,f,1,0,1,0,0.45,Dublin,Ireland,Satisfied,Less than 100
1086416,5971713,Eileen,2013-04-17,within an hour,1.0,0.79,f,Stoneybatter/Arbour Hill,1,1,t,t,53.35846,-6.27528,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,106.0,3,7,3,3,7,7,3.0,7.0,t,0,0,4,4,240,10,1,2013-05-20,2022-08-23,4.86,4.93,4.93,4.93,4.97,4.57,4.76,f,1,1,0,0,2.12,Dublin,Ireland,Satisfied,Between 100 to 499
1173029,3448346,Ian,2012-09-02,within an hour,1.0,0.96,t,Stoneybatter/Arbour Hill,1,4,t,t,53.35107,-6.27992,Entire home,Entire home/apt,4,2 baths,2.0,2.0,271.0,3,30,3,3,1125,1125,3.0,1125.0,t,10,16,44,44,329,22,5,2015-06-16,2022-09-04,4.83,4.85,4.82,4.89,4.9,4.74,4.78,f,1,1,0,0,3.73,Dublin,Ireland,Satisfied,Between 100 to 499
1184087,6476854,Therese,2013-05-20,within an hour,1.0,0.6,f,Ballyfermot,8,9,t,t,53.34567,-6.34929,Entire home,Entire home/apt,9,4 baths,5.0,5.0,336.0,5,1125,5,5,1125,1125,5.0,1125.0,t,0,0,0,0,18,1,1,2013-07-06,2022-08-14,4.89,4.83,4.61,4.89,4.94,4.67,4.78,f,8,2,6,0,0.16,Dublin,Ireland,Satisfied,Between 100 to 499
1207950,6593571,Dave & Ann,2013-05-27,within a day,1.0,0.74,f,Dundrum,1,2,t,t,53.28341,-6.24498,Entire home,Entire home/apt,8,3 baths,4.0,4.0,270.0,5,28,5,5,28,28,5.0,28.0,t,2,3,3,132,72,10,3,2013-07-29,2022-09-08,4.93,4.99,4.97,4.97,5.0,4.84,4.91,f,1,1,0,0,0.65,Dublin,Ireland,Satisfied,Between 100 to 499
1255270,6837751,Siobhan,2013-06-10,within an hour,0.9,0.59,t,Not Specified,3,4,t,t,53.33893,-6.43476,Private room in home,Private room,1,1 private bath,1.0,1.0,40.0,30,1125,30,30,1125,1125,30.0,1125.0,t,2,2,2,121,10,1,0,2013-08-12,2021-11-29,4.9,5.0,5.0,5.0,5.0,4.4,4.9,f,3,0,3,0,0.09,Lucan,Ireland,Satisfied,Less than 100
1270261,474328,James,2011-03-31,within a day,0.63,0.44,f,Not Specified,1,1,t,t,53.56548,-6.31617,Private room in home,Private room,6,2 baths,1.0,6.0,50.0,1,1125,1,1,1125,1125,1.0,1125.0,t,1,11,41,316,9,2,0,2014-09-08,2022-04-17,4.89,4.88,4.88,5.0,5.0,4.75,4.88,f,1,0,1,0,0.09,Not Specified,Ireland,Satisfied,Less than 100
